targy_nev,kredit,felelos,nyelv,link
Connecting Democracy and Capitalism in Western Europe,6,Dr. Matthew Edward Bergman,magyar,https://www.uni-corvinus.hu/tantargyak/TARS120NABB?semester=2024/25/2
(Media) Semiotics,3,Dr. Havril Ágnes Katalin,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NGKK8B?semester=2024/25/2
1989 utáni közjogi fordulatok,3,Dr. Gallai Sándor,magyar,https://www.uni-corvinus.hu/tantargyak/7PO10NFKF5B?semester=2024/25/1
A cégvezetés pénzügyei,5,Ónodi Annamária,magyar,https://www.uni-corvinus.hu/tantargyak/VGUG073LMSB?semester=2024/25/2
A cégvezetés pénzügyei,5,Ónodi Annamária,magyar,https://www.uni-corvinus.hu/tantargyak/VGUG088EMSB?semester=2023/24/2
"A coaching marketingje, értékesítése és üzleti feltételei",5,Dr. Dunavölgyi Mária,magyar,https://www.uni-corvinus.hu/tantargyak/VTSM029LMSB?semester=2024/25/2
A Country in Focus: Russia in Russian (level:B2-C1),3,Dr. Mágocsi Nyina,magyar,https://www.uni-corvinus.hu/tantargyak/IOK0338NABB?semester=2024/25/2
A Country in Focus: Spain in Spanish (level: B1-B2),3,Kőszegi Dávid,magyar,https://www.uni-corvinus.hu/tantargyak/IOK0339NABB?semester=2024/25/2
A designkommunikáció vállalatirányítási kérdései,5,Dr. Cosovan Attila Róbert,magyar,https://www.uni-corvinus.hu/tantargyak/2ME43NDV03M?semester=2024/25/2
A fenntarthatóság és felelősségvállalás kommunikációja,6,Dr. Ásványi Katalin,magyar,https://www.uni-corvinus.hu/tantargyak/MAMM024NMBB?semester=2023/24/2
A fenntarthatósági teljesítmény mérése és szakpolitikai háttere,6,Dr. Harangozó Gábor,magyar,https://www.uni-corvinus.hu/tantargyak/VGLE023NMBB?semester=2024/25/2
A gazdaságszociológia alapjai,6,Dr. Letenyei László,magyar,https://www.uni-corvinus.hu/tantargyak/7SO30NCKE2B?semester=2023/24/1
A geopolitika elmélete,3,Dr. Lieszkovszky József Pál,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NIK79B?semester=2024/25/2
A japán és a koreai menedzsment alapjai,3,Vaszkun Balázs György,magyar,https://www.uni-corvinus.hu/tantargyak/2VE81NAV09B?semester=2024/25/2
A jövő vállalkozásai Budapesten,magyar,Pelle Veronika,magyar,https://www.uni-corvinus.hu/tantargyak/VALL042NMBB?semester=2024/25/2
A kommunikáció világa: kutatás és gyakorlat,6,Szabó Zsolt Péter,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NGKC2B?semester=2024/25/1
A kommunikációs tréning és tanácsadás módszerei,5,Dr. Várnagy Réka,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NAKJ4M?semester=2024/25/2
A közigazgatás alapjai,3,Dr. Metzinger Péter,magyar,https://www.uni-corvinus.hu/tantargyak/7PO10NCK94B?semester=2023/24/2
A magyar tőke- és pénzpiac legnagyobb visszaélései,6,Markos-Kujbus Éva,magyar,https://www.uni-corvinus.hu/tantargyak/SZAM081NMBB?semester=2024/25/2
A mesterséges intelligencia alapjai,5,Dr. Fodor Szabina Eszter,magyar,https://www.uni-corvinus.hu/tantargyak/INSA002NMBB?semester=2024/25/2
A mesterséges intelligencia alapjai,6,Dr. Fodor Szabina Eszter,magyar,https://www.uni-corvinus.hu/tantargyak/INSA011NMBB?semester=2024/25/2
A munkaerő kiválasztás módszerei,6,Juhászné Dr. Klér Andrea,magyar,https://www.uni-corvinus.hu/tantargyak/KSPV016NMBB?semester=2024/25/2
A munkaerő kiválasztás módszerei,6,Juhászné Dr. Klér Andrea,magyar,https://www.uni-corvinus.hu/tantargyak/KSPV021NMBS?semester=2023/24/2
A munkaerőpiac és munkaszervezet közgazdaságtana,3,Hermann Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/4EE21NAV01B?semester=2023/24/2
A növekedés határai,3,Dr. Kocsis Tamás,magyar,https://www.uni-corvinus.hu/tantargyak/2VL60NAV09M?semester=2023/24/2
"A pedagógiai folyamat tervezése, implementálása",2,Csillik Olga,magyar,https://www.uni-corvinus.hu/tantargyak/OMMK027LMMB?semester=2024/25/1
A pedagógus személyiségének fejlesztése,4,Csillik Olga,magyar,https://www.uni-corvinus.hu/tantargyak/OMMK029LMMB?semester=2024/25/2
A politikai gondolkodás története 1.,3,Dr. Balázs Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/7PO10NCK01B?semester=2023/24/1
A politikai gondolkodás története 2.,3,Dr. Balázs Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/7PO10NCK02B?semester=2023/24/2
A politikatudomány alapjai,6,Dr. Dúró József,magyar,https://www.uni-corvinus.hu/tantargyak/7PO10NBK03B?semester=2024/25/1
